Name,Country,Region,Category,Description,Website,Year_Founded,Funding_Status,Platform
Babymigo,Nigeria,West Africa,Maternal Health & Pregnancy,"Connects expectant mothers with healthcare professionals; provides expert-verified health information on pregnancy, parenting and childbirth via SMS, app and web. Over 200,000 users.",https://www.babymigo.com,2016,Funded,Mobile App / Web / SMS
HelpMum,Nigeria,West Africa,Maternal Health,"Pregnancy tracking and telehealth app providing antenatal care date reminders, immunization session reminders and vaccination schedules for newborn babies.",https://www.helpmum.org,2016,Funded,Mobile App
Whispa Health,Nigeria,West Africa,Sexual & Reproductive Health,"Safe platform where young people can freely ask questions about sexual and reproductive health and access medical help from certified, youth-friendly experts without judgment.",https://www.whispahealth.com,2019,Funded,Mobile App
MOBicure,Nigeria,West Africa,Child & Maternal Health,"Develops the Omomi App - a health and social platform for parents to track immunization status, manage child health, and connect with doctors and other parents.",https://www.mobicure.com,2012,Funded,Mobile App
MyFlair,Nigeria,West Africa,Women's Wellness,"Digital platform for women's wellness, beauty and lifestyle offering curated products and health resources for African women.",https://www.myflair.co,2018,Funded,Mobile App / Web
Baby Diary,Nigeria,West Africa,Child Health & Parenting,"Digital child health tracking app that helps parents monitor milestones, immunizations and developmental progress of their children.",,,Not Disclosed,Mobile App
Mobihealth International,Nigeria,West Africa,Telehealth & Women's Health,"Telehealth clinics offering remote consultations and access to specialist care including women's health services across Nigeria and beyond.",https://www.mobihealthintl.com,2017,Funded,Telehealth Platform
GiftedMom,Cameroon,Central Africa,Maternal Health,"SMS-based platform sending prenatal appointment reminders, vaccination schedules and maternal health tips to pregnant women and new mothers in underserved communities.",https://www.giftedmom.org,2013,Funded,SMS / Mobile App
Kasha,Rwanda / Kenya,East Africa,E-commerce & Reproductive Health,"E-commerce platform enabling women to buy health and personal care products (sanitary pads, contraceptives) with confidential delivery. Over 20,000 customers. Phone consultations on fertility and sexual health.",https://www.kasha.co,2016,Funded (Series B - $21M),Web / SMS / USSD
Malaica,Kenya,East Africa,Maternal Health,"Formerly MumsVillage. Reimagining maternity care through expert-led support with obstetricians, midwives and psychologists providing evidence-based care from antenatal to postnatal stages.",https://www.malaica.com,2015,Funded,Web / Mobile App
Totohealth,Kenya,East Africa,Maternal & Child Health,"Uses simple mobile technology to deliver pregnancy and child health information through SMS, helping expectant mothers and parents of children under five receive timely guidance.",https://www.totohealth.org,2013,Funded,SMS Platform
Jacaranda Health,Kenya,East Africa,Maternal Health,"Operates affordable maternity hospitals and PROMPTS - an SMS-based digital platform providing maternal health support and connecting mothers to care in Kenya.",https://www.jacarandahealth.org,2011,Funded,Hospital / SMS Platform
Penda Health,Kenya,East Africa,Healthcare & Women's Health,"Medical care chain with on-demand telehealth services focused on affordable primary healthcare. Acquired Grace Health to strengthen women's health digital offerings.",https://www.pendahealth.com,2012,Funded,Clinics / Telehealth
Zuri Health,Kenya,East Africa,Telehealth,"SMS-based telehealth services reaching patients who lack internet access, offering remote doctor consultations including women's health services.",https://www.zurihealth.com,2020,Funded,SMS / Telehealth
YeneHealth,Ethiopia,East Africa,Period Tracking & Reproductive Health,"Ethiopia's first femtech startup combining AI, data analytics and culturally sensitive design. Period and pregnancy tracking app with e-pharmacy, virtual consultations and health information library.",https://www.yenehealth.com,2021,Funded,Mobile App
Grace Health,Ghana / Nigeria / Kenya / South Africa,West Africa / East Africa / Southern Africa,Reproductive Health,"Digital women's health platform with automated health assistant 'Grace' monitoring sexual and reproductive well-being. Over 1.3 million registered users. Acquired by Penda Health.",https://www.gracehealth.co,2018,Acquired,Mobile App
Susu Health,Ghana,West Africa,Maternal & Child Health,"Affordable subscription-based maternal and child health services including telemedicine, health education and access to essential medications.",https://www.susuhealth.com,2020,Funded,Mobile App / Telemedicine
SafeHands,Ghana,West Africa,Menstrual Hygiene & Education,"Focuses on menstrual hygiene education and providing affordable sanitary products to girls and women in underserved communities in Ghana.",,,Not Disclosed,Community / Distribution
Zoie Health,South Africa,Southern Africa,Women's Health & Virtual Care,"Digital app for family planning, fertility and maternity care. Virtual consultations with practitioners including doulas, nurses, midwives, GPs and mental health professionals. Founded 2021.",https://www.zoiehealth.com,2021,Funded (Pre-seed),Mobile App
Uteroo,South Africa,Southern Africa,Menstrual Health,"Period tracking app helping women track their menstrual cycle and make informed health choices. Founded by Pabi Moloi to normalise conversations around menstrual and reproductive health.",https://www.uteroo.com,2018,Not Disclosed,Mobile App
My Pregnancy Journey,South Africa,Southern Africa,Pregnancy Tracking,"Pregnancy tracking app with over 13,000 organic downloads. Provides week-by-week pregnancy information and health tracking for South African mothers.",,,Not Disclosed,Mobile App
Umbilically,South Africa,Southern Africa,Pregnancy & Maternal Health,"Digital platform supporting pregnant women through their maternal journey with local health resources and community features tailored for the South African context.",,,Not Disclosed,Mobile App / Web
DilenyTech,Egypt,North Africa,Breast Cancer Screening,"Innovative digital tools for breast cancer screening and AI-powered imaging solutions facilitating early and accurate detection. Founded by Dr. Ahmed Ehab Mahmoud.",https://www.dilenytech.com,2018,Funded,AI / Medical Device
Hera,Tunisia,North Africa,Women's Health & Wellness,"Digital health platform focused on women's wellness and reproductive health, providing health education and teleconsultation services in North Africa.",,,Not Disclosed,Mobile App
Afrimom,Zimbabwe,Southern Africa,Maternal & Reproductive Health,"Provides access to emergency contraception, pre- and post-exposure ART medication. Connects pregnant women to approved local obstetricians and maternity clinics.",https://www.afrimom.co.zw,2018,Funded,Mobile App / Web
MamaOpe,Uganda,East Africa,Child Health & Diagnostics,"Biomedical smart jacket designed as a non-invasive, wireless diagnostic tool to expedite pneumonia detection in children. Founded by Olivia Koburongo and Brian Turyabagye.",https://www.mamaope.com,2017,Funded,Medical Device / Software
Terrewode,Uganda,East Africa,Obstetric Fistula Care,"Provides treatment, rehabilitation and reintegration support for women suffering from obstetric fistula, using mobile technology to connect patients with surgical care.",https://www.terrewode.org,2003,NGO / Grant-funded,Community / Mobile
Wazazi Nipendeni,Tanzania,East Africa,Maternal Health (SMS),"Government-backed SMS service delivering safe motherhood information and reminders. Over 750,000 registrants receiving 50+ million text messages since 2012 launch.",,,Government Program,SMS Platform
Mammy App,Nigeria,West Africa,Fertility / Pregnancy / Motherhood,"Supports women through fertility, pregnancy and motherhood by combining education with access to services and products for every stage of the maternal journey.",,,Not Disclosed,Mobile App
Hamilguide,Egypt,North Africa,Pregnancy Education & Tracking,"Tech-enabled pregnancy education and tracking platform providing culturally relevant pregnancy guidance and health monitoring for women in the MENA/Africa region.",,,Not Disclosed,Mobile App
Aya Health,South Africa,Southern Africa,Women's Digital Health,"Digital health platform focused on women's health services including reproductive health consultations, wellness tracking and health education for Southern African women.",,,Not Disclosed,Mobile App / Web
LifeBank,Nigeria,West Africa,Blood Supply & Maternal Health,"Technology-driven platform for blood and medical product delivery, significantly reducing maternal mortality by ensuring hospitals have timely access to blood products.",https://www.lifebank.ng,2016,Funded,Logistics / Mobile App
